race,race_ntile,racial_ntile_value,total_ntile
Black,54,37790.268256264695,37
Latino,54,40505.45663411832,40
White,55,66509.63835108493,60
Black,55,39051.33793849924,38
Latino,55,40707.98391728891,40
White,56,68859.27627800115,62
Black,56,39897.874784606545,39
Latino,56,41550.225443383206,41
White,57,70617.63736627538,63
Black,57,40707.1199152034,40
Latino,57,42502.04014946327,42
White,58,71087.07639287764,64
Black,58,41315.56576680068,41
Latino,58,43856.170789817814,43
White,59,73432.33510134714,64
Black,59,42530.72946582424,42
Latino,59,45747.77172595986,45
White,60,75947.73118897185,66
Black,60,43172.7602422019,43
Latino,60,46643.36013768008,46
White,61,76960.36760482482,66
Black,61,44715.21078782333,44
Latino,61,47951.82682923786,47
White,62,78985.64043653072,67
Black,62,45638.029244693265,45
Latino,62,49158.347116907345,48
White,63,81010.91326823665,69
Black,63,46404.87005376044,45
Latino,63,50073.51677098805,49
White,64,82225.54446091785,69
Black,64,47965.940145633926,47
Latino,64,50631.82079264791,50
White,65,84453.8770821367,70
Black,65,48510.40608933717,47
Latino,65,50786.44899238816,50
White,66,86276.62263067203,71
Black,66,49255.91618915364,48
Latino,66,51846.98449167145,50
White,67,89165.76793532362,72
Black,67,50429.29350947732,49
Latino,67,53462.8207288696,51
White,68,91137.27742676623,73
Black,68,51863.12179054743,50
Latino,68,54981.33141649437,53
White,69,93365.07754164274,74
Black,69,54460.594004731145,52
Latino,69,56021.72813416406,53
White,70,95795.40493968983,75
Black,70,56315.42389596217,53
Latino,70,58953.189533899655,55
White,71,97618.15048822515,76
Black,71,58423.7956981267,55
Latino,71,60687.51662350293,56
White,72,100858.58701895461,77
Black,72,60598.593943871514,56
Latino,72,61644.93374808761,57
White,73,102073.75071797818,78
Black,73,61568.29408385985,57
Latino,73,63608.87739119275,59
White,74,104909.13268236644,78
Black,74,62711.03510294085,58
Latino,74,65760.0896854118,60
White,75,107339.46008041357,79
Black,75,64979.29314919641,59
Latino,75,67339.78090805085,61
White,76,110344.98908329476,80
Black,76,65821.36703044227,60
Latino,76,68570.95704640652,61
White,77,112142.92025339126,81
Black,77,67784.44302943638,61
Latino,77,69437.83583596931,62
White,78,116048.13325674899,82
Black,78,69871.9126938541,62
Latino,78,70705.69393227118,63
White,79,120507.70636015592,83
Black,79,71694.65824238943,64
Latino,79,71087.07639287764,64
White,80,123551.57209928714,84
Black,80,74974.738148394,65
Latino,80,73190.465097954,64
White,81,128199.77024698448,84
Black,81,76975.75229385473,66
Latino,81,75798.35141345662,65
White,82,132948.3294609378,85
Black,82,79651.94368299497,68
Latino,82,76997.99898840275,66
White,83,137849.80578341318,86
Black,83,81618.49511774842,69
Latino,83,80031.58987979153,68
White,84,143389.31648477886,87
Black,84,84048.82251579552,70
Latino,84,81479.18094902669,69
White,85,151895.4623779437,88
Black,85,86339.27198384155,71
Latino,85,85739.13975971972,70
White,86,157363.69902354965,89
Black,86,89643.56338410868,72
Latino,86,89055.17128582476,72
White,87,164452.15393452038,90
Black,87,91137.27742676623,73
Latino,87,91051.80040502104,72
White,88,172148.19069500288,90
Black,88,91914.22873831834,73
Latino,88,94504.91420640831,74
White,89,182220.2789977414,91
Black,89,95848.5899730193,75
Latino,89,97945.8846950331,76
White,90,191185.7553130385,92
Black,90,100379.59178682961,76
Latino,90,101263.64158529582,77
White,91,202527.28317059163,93
Black,91,103086.38713383113,78
Latino,91,106972.09613393834,79
White,92,213010.0485658865,94
Black,92,109162.2056289489,80
Latino,92,110492.39577423246,80
White,93,229295.61159755132,95
Black,93,115243.57733287879,82
Latino,93,116346.63778135138,82
White,94,251118.7335560029,95
Black,94,122223.25424319613,83
Latino,94,120566.10814777245,83
White,95,282623.13479955995,96
Black,95,133722.36526964785,85
Latino,95,127011.77967816652,84
White,96,320673.35834039224,97
Black,96,141769.09821941413,87
Latino,96,132776.88299764707,85
White,97,355459.26009697624,98
Black,97,152156.69682667445,88
Latino,97,146323.5768085165,87
White,98,430420.4596779395,98
Black,98,171175.3215046715,90
Latino,98,160460.585990694,89
White,99,606561.2414971839,99
Black,99,190533.61427809193,92
Latino,99,185586.56477772314,92
White,100,1052280.8462721512,100
Black,100,225444.77984900348,94
Latino,100,207011.4016469614,93
White,101,289132e3,101
Black,101,26832839.74727168,100
Latino,101,5182673.176335439,100
